respondent	match	guess
Aki	Saksa-Skotlanti	1
Aki	Unkari-Sveitsi	2
Aki	Saksa-Unkari	1
Aki	Skotlanti-Sveitsi	x
Aki	Sveitsi-Saksa	2
Aki	Skotlanti-Unkari	2
Aki	Espanja-Kroatia	1
Aki	Italia-Albania	1
Aki	Kroatia-Albania	1
Aki	Espanja-Italia	2
Aki	Albania-Espanja	2
Aki	Kroatia-Italia	x
Aki	Slovenia-Tanska	2
Aki	Serbia-Englanti	2
Aki	Slovenia-Serbia	x
Aki	Tanska-Englanti	x
Aki	Englanti-Slovenia	1
Aki	Tanska-Serbia	1
Aki	Puola-Hollanti	2
Aki	Itävalta-Ranska	2
Aki	Puola-Itävalta	x
Aki	Hollanti-Ranska	2
Aki	Hollanti-Itävalta	1
Aki	Ranska-Puola	x
Aki	Romania-Ukraina	2
Aki	Belgia-Slovakia	1
Aki	Slovakia-Ukraina	x
Aki	Belgia-Romania	1
Aki	Slovakia-Romania	x
Aki	Ukraina-Belgia	2
Aki	Turkki-Georgia	1
Aki	Portugali-Tšekki	1
Aki	Georgia-Tšekki	2
Aki	Turkki-Portugali	x
Aki	Georgia-Portugali	2
Aki	Tšekki-Turkki	2
Anton	Saksa-Skotlanti	1
Anton	Unkari-Sveitsi	2
Anton	Saksa-Unkari	1
Anton	Skotlanti-Sveitsi	x
Anton	Sveitsi-Saksa	x
Anton	Skotlanti-Unkari	x
Anton	Espanja-Kroatia	1
Anton	Italia-Albania	1
Anton	Kroatia-Albania	1
Anton	Espanja-Italia	x
Anton	Albania-Espanja	2
Anton	Kroatia-Italia	x
Anton	Slovenia-Tanska	x
Anton	Serbia-Englanti	2
Anton	Slovenia-Serbia	2
Anton	Tanska-Englanti	x
Anton	Englanti-Slovenia	1
Anton	Tanska-Serbia	1
Anton	Puola-Hollanti	2
Anton	Itävalta-Ranska	2
Anton	Puola-Itävalta	2
Anton	Hollanti-Ranska	2
Anton	Hollanti-Itävalta	1
Anton	Ranska-Puola	1
Anton	Romania-Ukraina	2
Anton	Belgia-Slovakia	1
Anton	Slovakia-Ukraina	x
Anton	Belgia-Romania	1
Anton	Slovakia-Romania	x
Anton	Ukraina-Belgia	x
Anton	Turkki-Georgia	1
Anton	Portugali-Tšekki	1
Anton	Georgia-Tšekki	2
Anton	Turkki-Portugali	2
Anton	Georgia-Portugali	2
Anton	Tšekki-Turkki	1
Atte	Saksa-Skotlanti	1
Atte	Unkari-Sveitsi	x
Atte	Saksa-Unkari	1
Atte	Skotlanti-Sveitsi	2
Atte	Sveitsi-Saksa	x
Atte	Skotlanti-Unkari	1
Atte	Espanja-Kroatia	1
Atte	Italia-Albania	1
Atte	Kroatia-Albania	1
Atte	Espanja-Italia	x
Atte	Albania-Espanja	2
Atte	Kroatia-Italia	1
Atte	Slovenia-Tanska	1
Atte	Serbia-Englanti	2
Atte	Slovenia-Serbia	x
Atte	Tanska-Englanti	2
Atte	Englanti-Slovenia	1
Atte	Tanska-Serbia	x
Atte	Puola-Hollanti	x
Atte	Itävalta-Ranska	x
Atte	Puola-Itävalta	x
Atte	Hollanti-Ranska	2
Atte	Hollanti-Itävalta	2
Atte	Ranska-Puola	1
Atte	Romania-Ukraina	x
Atte	Belgia-Slovakia	1
Atte	Slovakia-Ukraina	x
Atte	Belgia-Romania	1
Atte	Slovakia-Romania	1
Atte	Ukraina-Belgia	2
Atte	Turkki-Georgia	1
Atte	Portugali-Tšekki	1
Atte	Georgia-Tšekki	2
Atte	Turkki-Portugali	2
Atte	Georgia-Portugali	2
Atte	Tšekki-Turkki	x
Eetu	Saksa-Skotlanti	1
Eetu	Unkari-Sveitsi	2
Eetu	Saksa-Unkari	1
Eetu	Skotlanti-Sveitsi	x
Eetu	Sveitsi-Saksa	x
Eetu	Skotlanti-Unkari	x
Eetu	Espanja-Kroatia	x
Eetu	Italia-Albania	1
Eetu	Kroatia-Albania	1
Eetu	Espanja-Italia	x
Eetu	Albania-Espanja	2
Eetu	Kroatia-Italia	x
