respondent	guess
Aki	Kylian Mbappé
Aki	Harry Kane
Aki	Phil Foden
Aki	Antoine Griezmann
Aki	Federico Chiesa
Anton	Cristiano Ronaldo
Anton	Kylian Mbappé
Anton	Jude Bellingham
Anton	Romelu Lukaku
Anton	Harry Kane
Atte	Artem Dovbyk
Atte	Kylian Mbappé
Atte	Cristiano Ronaldo
Atte	Harry Kane
Atte	Romelu Lukaku
Eetu	Kylian Mbappé
Eetu	Harry Kane
Eetu	Romelu Lukaku
Eetu	Álvaro Morata
Eetu	Cristiano Ronaldo
Elias	Harry Kane
Elias	Kylian Mbappé
Elias	Cristiano Ronaldo
Elias	Romelu Lukaku
Elias	Kai Havertz
Janne	Nwankwo Kanu
Janne	Artem Dovbyk
Janne	Robert Lewandowski
Janne	Kylian Mbappé
Janne	Rasmus Højlund
Maria	Romelu Lukaku
Maria	Jude Bellingham
Maria	Harry Kane
Maria	Cristiano Ronaldo
Maria	Kylian Mbappé
Miika	Kylian Mbappé
Miika	Olivier Giroud
Miika	Harry Kane
Miika	Cristiano Ronaldo
Miika	Romelu Lukaku
Olli	Cristiano Ronaldo
Olli	Kai Havertz
Olli	Romelu Lukaku
Olli	Kylian Mbappé
Olli	Harry Kane
Ossi	Álvaro Morata
Ossi	Benjamin Šeško
Ossi	Harry Kane
Ossi	Kylian Mbappé
Ossi	Artem Dovbyk
Petteri	Kylian Mbappé
Petteri	Harry Kane
Petteri	Cristiano Ronaldo
Petteri	Romelu Lukaku
Petteri	Kai Havertz
Teemu	Kylian Mbappé
Teemu	Rasmus Højlund
Teemu	Robert Lewandowski
Teemu	Cristiano Ronaldo
Teemu	Harry Kane
Ville	Romelu Lukaku
Ville	Harry Kane
Ville	Kylian Mbappé
Ville	Cristiano Ronaldo
Ville	Niclas Füllkrug
